b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
5000,5075,50,3.1794,5075,5059,5100,249511,3,100,3.9394,bi_a100_b5000_p50%_v3.col,4.4743
5000,5075,50,3.0215,5075,5059,5100,250635,4,100,4.0013,bi_a100_b5000_p50%_v4.col,3.9357
5000,5074,50,2.9507,5074,5061,5100,250101,5,100,3.9448,bi_a100_b5000_p50%_v5.col,3.85
5000,5083,60,4.1745,5083,5073,5100,300339,1,100,5.514,bi_a100_b5000_p60%_v1.col,6.1664
5000,5079,60,4.4654,5079,5072,5100,299914,2,100,5.5686,bi_a100_b5000_p60%_v2.col,6.1938
5000,5082,60,4.2337,5082,5074,5100,299729,3,100,5.552,bi_a100_b5000_p60%_v3.col,5.5859
5000,5082,60,4.2071,5082,5073,5100,299061,4,100,5.5412,bi_a100_b5000_p60%_v4.col,5.1867
5000,5081,60,4.1417,5081,5071,5100,300066,5,100,5.4319,bi_a100_b5000_p60%_v5.col,6.3936
5000,5088,70,5.6041,5088,5080,5100,350143,1,100,7.5412,bi_a100_b5000_p70%_v1.col,6.6234
5000,5087,70,5.6232,5087,5083,5100,350353,2,100,7.4079,bi_a100_b5000_p70%_v2.col,8.4072
5000,5088,70,5.6042,5088,5082,5100,350007,3,100,7.2891,bi_a100_b5000_p70%_v3.col,9.1801
5000,5087,70,5.532,5087,5081,5100,350080,4,100,7.1959,bi_a100_b5000_p70%_v4.col,7.5514
5000,5087,70,5.9644,5087,5083,5100,349824,5,100,7.2788,bi_a100_b5000_p70%_v5.col,6.906
5000,5092,80,7.0946,5092,5088,5100,399798,1,100,9.2025,bi_a100_b5000_p80%_v1.col,9.001
5000,5091,80,7.2186,5091,5088,5100,399782,2,100,9.3283,bi_a100_b5000_p80%_v2.col,7.5118
5000,5092,80,7.2496,5092,5089,5100,400257,3,100,9.3788,bi_a100_b5000_p80%_v3.col,8.3789
5000,5092,80,7.245,5092,5089,5100,400168,4,100,9.34,bi_a100_b5000_p80%_v4.col,8.9203
5000,5091,80,7.1847,5091,5087,5100,400446,5,100,9.3415,bi_a100_b5000_p80%_v5.col,8.3654
5000,5094,90,9.0874,5094,5093,5100,449636,1,100,11.745,bi_a100_b5000_p90%_v1.col,10.9901
5000,5094,90,8.8642,5094,5093,5100,449930,2,100,11.358,bi_a100_b5000_p90%_v2.col,9.4877
5000,5095,90,8.8999,5095,5092,5100,449720,3,100,11.6145,bi_a100_b5000_p90%_v3.col,9.3101
5000,5095,90,8.9965,5095,5093,5100,449880,4,100,11.631,bi_a100_b5000_p90%_v4.col,10.2126
5000,5094,90,8.9297,5094,5092,5100,449675,5,100,11.4989,bi_a100_b5000_p90%_v5.col,10.9257
10000,607,1,0.1012,607,206,10100,10029,1,100,0.4948,bi_a100_b10000_p01%_v1.col,0.0584
10000,659,1,0.1032,659,208,10100,9960,2,100,0.4993,bi_a100_b10000_p01%_v2.col,0.0585
10000,614,1,0.1023,614,212,10100,10002,3,100,0.5021,bi_a100_b10000_p01%_v3.col,0.0588
10000,629,1,0.1024,629,209,10100,9906,4,100,0.4998,bi_a100_b10000_p01%_v4.col,0.0583
10000,594,1,0.1013,594,210,10100,10024,5,100,0.4975,bi_a100_b10000_p01%_v5.col,0.0583
10000,392,3,0.1135,392,487,10100,30204,1,100,0.5688,bi_a100_b10000_p03%_v1.col,0.1098
10000,390,3,0.113,390,487,10100,30116,2,100,0.5672,bi_a100_b10000_p03%_v2.col,0.1143
10000,401,3,0.1127,401,478,10100,29800,3,100,0.5624,bi_a100_b10000_p03%_v3.col,0.1091
10000,633,3,0.1161,633,483,10100,29991,4,100,0.5772,bi_a100_b10000_p03%_v4.col,0.1127
10000,391,3,0.1153,391,483,10100,30217,5,100,0.5703,bi_a100_b10000_p03%_v5.col,0.1129
10000,621,5,0.203,621,845,10100,50380,1,100,0.7022,bi_a100_b10000_p05%_v1.col,0.2384
10000,609,5,0.2054,609,828,10100,49616,2,100,0.6893,bi_a100_b10000_p05%_v2.col,0.2498
10000,617,5,0.1982,617,837,10100,50185,3,100,0.6997,bi_a100_b10000_p05%_v3.col,0.2382
10000,617,5,0.2061,617,839,10100,50374,4,100,0.7002,bi_a100_b10000_p05%_v4.col,0.2435
