instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a35_b10_c90_v1.col,35,10,90,1,1716,1681,90.0,0.0,3.33028,0.0734,83.70964050292969,66.32774353027344
galaxy_a40_b10_c100_v1.col,40,10,100,1,2441,2401,102.6,0.2449,26.25736,6.8175,392.58922576904297,223.85084381103516
galaxy_a40_b10_c20_v1.col,40,10,20,1,637,597,48.0,0.0,4.59551,0.6555,149.80492401123047,124.05012512207031
galaxy_a40_b10_c30_v1.col,40,10,30,1,797,757,49.8,0.2,3.04678,0.2056,144.9723663330078,110.62177124023438
galaxy_a40_b10_c40_v1.col,40,10,40,1,1053,1013,53.0,0.3162,7.53217,2.0016,256.0165328979492,163.9390121459961
galaxy_a40_b10_c50_v1.col,40,10,50,1,1176,1136,55.6,0.7483,11.42318,2.4049,307.6144485473633,194.0141632080078
galaxy_a40_b10_c60_v1.col,40,10,60,1,1561,1521,67.4,0.2449,11.45591,1.2141,187.0207977294922,153.93787689208983
galaxy_a40_b10_c70_v1.col,40,10,70,1,1551,1511,69.4,0.2449,16.16479,1.8406,296.13934326171875,233.73171844482422
galaxy_a40_b10_c80_v1.col,40,10,80,1,2093,2053,83.4,0.2449,31.41297,4.3162,364.82904052734375,292.3766693115234
galaxy_a40_b10_c90_v1.col,40,10,90,1,2157,2117,91.0,0.0,7.51501,0.335,127.10639190673828,116.97842559814453
galaxy_a45_b10_c100_v1.col,45,10,100,1,2601,2556,102.0,0.0,14.63645,3.0963,320.8582992553711,170.78937377929688
galaxy_a45_b10_c20_v1.col,45,10,20,1,716,671,52.4,0.2449,5.13143,0.7603,161.13105010986328,132.4615921020508
galaxy_a45_b10_c30_v1.col,45,10,30,1,933,888,55.0,0.3162,8.67112,1.4528,272.71126556396484,199.124658203125
galaxy_a45_b10_c40_v1.col,45,10,40,1,1267,1222,59.8,0.6633,12.65973,5.3066,411.7002716064453,193.40311431884766
galaxy_a45_b10_c50_v1.col,45,10,50,1,1467,1422,62.8,0.6633,10.65985,1.2632,253.16769409179688,173.8464385986328
galaxy_a45_b10_c60_v1.col,45,10,60,1,1781,1736,70.0,0.8367,26.81297,5.0117,480.4133987426758,320.4449127197266
galaxy_a45_b10_c70_v1.col,45,10,70,1,1662,1617,70.0,0.0,6.92165,1.1927,156.5718231201172,122.44346160888672
galaxy_a45_b10_c80_v1.col,45,10,80,1,2167,2122,81.4,0.2449,22.25447,6.7826,477.65833282470703,233.99391479492186
galaxy_a45_b10_c90_v1.col,45,10,90,1,2249,2204,89.0,0.0,20.73451,3.3013,272.49036407470703,204.00061950683593
galaxy_a50_b10_c100_v1.col,50,10,100,1,2731,2681,101.0,0.0,32.27756,10.9575,533.1792602539062,269.1721466064453
galaxy_a50_b10_c20_v1.col,50,10,20,1,807,757,57.6,0.4,9.07529,2.894,376.0122375488281,183.96592407226564
galaxy_a50_b10_c30_v1.col,50,10,30,1,1116,1066,62.2,0.2,9.82929,4.6016,391.0756378173828,180.66651916503906
galaxy_a50_b10_c40_v1.col,50,10,40,1,1380,1330,63.2,0.4899,15.78542,4.1347,507.2878189086914,236.69519653320313
galaxy_a50_b10_c50_v1.col,50,10,50,1,1551,1501,64.8,0.7348,22.25719,7.2902,538.4535217285156,272.98665008544924
galaxy_a50_b10_c60_v1.col,50,10,60,1,1723,1673,68.2,0.7348,19.92183,3.8938,394.4249038696289,256.96177062988284
galaxy_a50_b10_c70_v1.col,50,10,70,1,2249,2199,78.2,1.0677,39.49941,9.1904,575.1275100708008,367.6038024902344
galaxy_a50_b10_c80_v1.col,50,10,80,1,2476,2426,85.2,0.9695,62.03902,20.1123,1002.4939117431641,473.2423797607422
galaxy_a50_b10_c90_v1.col,50,10,90,1,2469,2419,90.0,0.3162,27.25331,4.7462,351.40155029296875,247.82516784667968
galaxy_a55_b10_c100_v1.col,55,10,100,1,2941,2886,101.2,0.2,21.56702,4.1873,291.52403259277344,178.5301956176758
galaxy_a55_b10_c20_v1.col,55,10,20,1,889,834,63.0,0.0,5.57614,0.5584,180.27901458740234,126.83775634765625
