instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a20_b10_c50_v3.col,20,10,50,3,710,690,52,0.000482934,MinGrau
galaxy_a20_b10_c50_v4.col,20,10,50,4,589,569,51,0.000344271,MinGrau
galaxy_a20_b10_c50_v5.col,20,10,50,5,643,623,52,0.000389389,MinGrau
galaxy_a20_b10_c60_v1.col,20,10,60,1,845,825,59,0.000659827,MinGrau
galaxy_a20_b10_c60_v2.col,20,10,60,2,688,668,58,0.000451745,MinGrau
galaxy_a20_b10_c60_v3.col,20,10,60,3,755,735,61,0.000570621,MinGrau
galaxy_a20_b10_c60_v4.col,20,10,60,4,743,723,58,0.000560815,MinGrau
galaxy_a20_b10_c60_v5.col,20,10,60,5,678,658,60,0.000465401,MinGrau
galaxy_a20_b10_c70_v1.col,20,10,70,1,863,843,71,0.000700017,MinGrau
galaxy_a20_b10_c70_v2.col,20,10,70,2,624,604,55,0.000407412,MinGrau
galaxy_a20_b10_c70_v3.col,20,10,70,3,825,805,66,0.000631635,MinGrau
galaxy_a20_b10_c70_v4.col,20,10,70,4,818,798,64,0.000631106,MinGrau
galaxy_a20_b10_c70_v5.col,20,10,70,5,819,799,63,0.000616522,MinGrau
galaxy_a20_b10_c80_v1.col,20,10,80,1,923,903,78,0.000765743,MinGrau
galaxy_a20_b10_c80_v2.col,20,10,80,2,918,898,78,0.000758508,MinGrau
galaxy_a20_b10_c80_v3.col,20,10,80,3,1028,1008,78,0.000919323,MinGrau
galaxy_a20_b10_c80_v4.col,20,10,80,4,867,847,81,0.00069501,MinGrau
galaxy_a20_b10_c80_v5.col,20,10,80,5,999,979,75,0.000837337,MinGrau
galaxy_a20_b10_c90_v1.col,20,10,90,1,1013,993,86,0.000862227,MinGrau
galaxy_a20_b10_c90_v2.col,20,10,90,2,1017,997,91,0.000904652,MinGrau
galaxy_a20_b10_c90_v3.col,20,10,90,3,841,821,87,0.000646501,MinGrau
galaxy_a20_b10_c90_v4.col,20,10,90,4,1028,1008,85,0.000913717,MinGrau
galaxy_a20_b10_c90_v5.col,20,10,90,5,1063,1043,88,0.000950808,MinGrau
galaxy_a25_b10_c100_v1.col,25,10,100,1,1373,1348,99,0.001475894,MinGrau
galaxy_a25_b10_c100_v2.col,25,10,100,2,1480,1455,98,0.001611553,MinGrau
galaxy_a25_b10_c100_v3.col,25,10,100,3,1574,1549,101,0.001853336,MinGrau
galaxy_a25_b10_c100_v4.col,25,10,100,4,1630,1605,101,0.001971023,MinGrau
galaxy_a25_b10_c100_v5.col,25,10,100,5,1456,1431,97,0.001629344,MinGrau
galaxy_a25_b10_c20_v1.col,25,10,20,1,387,362,35,0.0001797,MinGrau
galaxy_a25_b10_c20_v2.col,25,10,20,2,398,373,35,0.000186407,MinGrau
galaxy_a25_b10_c20_v3.col,25,10,20,3,403,378,35,0.000188352,MinGrau
galaxy_a25_b10_c20_v4.col,25,10,20,4,372,347,35,0.000168226,MinGrau
galaxy_a25_b10_c20_v5.col,25,10,20,5,398,373,35,0.000196104,MinGrau
galaxy_a25_b10_c30_v1.col,25,10,30,1,557,532,37,0.00031941,MinGrau
galaxy_a25_b10_c30_v2.col,25,10,30,2,544,519,37,0.000296208,MinGrau
galaxy_a25_b10_c30_v3.col,25,10,30,3,513,488,35,0.000289361,MinGrau
galaxy_a25_b10_c30_v4.col,25,10,30,4,525,500,35,0.000277887,MinGrau
galaxy_a25_b10_c30_v5.col,25,10,30,5,528,503,37,0.000283122,MinGrau
galaxy_a25_b10_c40_v1.col,25,10,40,1,604,579,41,0.000347467,MinGrau
galaxy_a25_b10_c40_v2.col,25,10,40,2,655,630,42,0.000428045,MinGrau
galaxy_a25_b10_c40_v3.col,25,10,40,3,634,609,41,0.000401465,MinGrau
galaxy_a25_b10_c40_v4.col,25,10,40,4,692,667,42,0.000462478,MinGrau
galaxy_a25_b10_c40_v5.col,25,10,40,5,625,600,41,0.000392189,MinGrau
galaxy_a25_b10_c50_v1.col,25,10,50,1,797,772,50,0.000563383,MinGrau
galaxy_a25_b10_c50_v2.col,25,10,50,2,749,724,51,0.000508054,MinGrau
galaxy_a25_b10_c50_v3.col,25,10,50,3,762,737,51,0.000533135,MinGrau
galaxy_a25_b10_c50_v4.col,25,10,50,4,849,824,50,0.000639237,MinGrau
galaxy_a25_b10_c50_v5.col,25,10,50,5,789,764,50,0.000565185,MinGrau
galaxy_a25_b10_c60_v1.col,25,10,60,1,814,789,60,0.000605954,MinGrau
galaxy_a25_b10_c60_v2.col,25,10,60,2,882,857,61,0.000683142,MinGrau
galaxy_a25_b10_c60_v3.col,25,10,60,3,865,840,61,0.000661498,MinGrau
galaxy_a25_b10_c60_v4.col,25,10,60,4,913,888,61,0.000720723,MinGrau
galaxy_a25_b10_c60_v5.col,25,10,60,5,887,862,60,0.000730116,MinGrau
