instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a100_b10_c70_v4.col,100,10,70,4,4240,4140,4141,0.221851707,111,0.010162255,4141,0.204181785
galaxy_a100_b10_c70_v5.col,100,10,70,5,3969,3869,3870,0.1955371,111,0.009128008,3870,0.179034424
galaxy_a100_b10_c80_v1.col,100,10,80,1,4490,4390,4391,0.251784736,110,0.012017254,4391,0.235624853
galaxy_a100_b10_c80_v2.col,100,10,80,2,4929,4829,4830,0.30322006,115,0.014110863,4830,0.280602128
galaxy_a100_b10_c80_v3.col,100,10,80,3,4785,4685,4686,0.287657952,110,0.013181637,4686,0.266342498
galaxy_a100_b10_c80_v4.col,100,10,80,4,4712,4612,4613,0.277309181,110,0.012908163,4613,0.257838989
galaxy_a100_b10_c80_v5.col,100,10,80,5,4537,4437,4438,0.25543384,110,0.011838653,4438,0.236253266
galaxy_a100_b10_c90_v1.col,100,10,90,1,5110,5010,5011,0.329980252,110,0.015408272,5011,0.335217575
galaxy_a100_b10_c90_v2.col,100,10,90,2,5347,5247,5248,0.364786548,112,0.016644945,5248,0.336940112
galaxy_a100_b10_c90_v3.col,100,10,90,3,5523,5423,5424,0.384214007,115,0.017068436,5424,0.355907232
galaxy_a100_b10_c90_v4.col,100,10,90,4,5349,5249,5250,0.364422536,113,0.016525693,5250,0.342299693
galaxy_a100_b10_c90_v5.col,100,10,90,5,5416,5316,5317,0.375728669,112,0.016635255,5317,0.347013262
galaxy_a10_b10_c100_v1.col,10,10,100,1,510,500,501,0.002960141,94,0.000368328,501,0.002512343
galaxy_a10_b10_c100_v2.col,10,10,100,2,650,640,641,0.004893035,97,0.000576554,641,0.004245189
galaxy_a10_b10_c100_v3.col,10,10,100,3,600,590,591,0.004260228,98,0.000462917,591,0.003572345
galaxy_a10_b10_c100_v4.col,10,10,100,4,601,591,592,0.004254246,101,0.000472172,592,0.003573379
galaxy_a10_b10_c100_v5.col,10,10,100,5,545,535,536,0.003395491,88,0.000418733,536,0.002881669
galaxy_a10_b10_c20_v1.col,10,10,20,1,164,154,155,0.000332797,22,6.7103e-5,155,0.000305945
galaxy_a10_b10_c20_v2.col,10,10,20,2,159,149,150,0.000304102,21,6.2786e-5,150,0.000261636
galaxy_a10_b10_c20_v3.col,10,10,20,3,160,150,151,0.000308713,22,6.3931e-5,151,0.000279499
galaxy_a10_b10_c20_v4.col,10,10,20,4,147,137,138,0.000262795,21,5.9702e-5,138,0.000226975
galaxy_a10_b10_c20_v5.col,10,10,20,5,167,157,158,0.000334409,23,6.6193e-5,158,0.000291582
galaxy_a10_b10_c30_v1.col,10,10,30,1,218,208,209,0.000580075,28,0.000124243,209,0.000489467
galaxy_a10_b10_c30_v2.col,10,10,30,2,222,212,213,0.000601793,31,0.000116485,213,0.000526889
galaxy_a10_b10_c30_v3.col,10,10,30,3,208,198,199,0.000545768,27,0.00010753,199,0.000456194
galaxy_a10_b10_c30_v4.col,10,10,30,4,196,186,187,0.00047602,28,0.000129056,187,0.000410179
galaxy_a10_b10_c30_v5.col,10,10,30,5,212,202,203,0.000559523,31,0.000115678,203,0.000467536
galaxy_a10_b10_c40_v1.col,10,10,40,1,245,235,236,0.000723195,37,0.000130986,236,0.000618587
galaxy_a10_b10_c40_v2.col,10,10,40,2,246,236,237,0.000761389,39,0.000132196,237,0.000605707
galaxy_a10_b10_c40_v3.col,10,10,40,3,279,269,270,0.000930011,41,0.000152695,270,0.000799256
galaxy_a10_b10_c40_v4.col,10,10,40,4,259,249,250,0.000802979,38,0.000137922,250,0.000674045
galaxy_a10_b10_c40_v5.col,10,10,40,5,262,252,253,0.000824731,41,0.000148679,253,0.000709301
galaxy_a10_b10_c50_v1.col,10,10,50,1,337,327,328,0.001329741,51,0.000199304,328,0.001144345
galaxy_a10_b10_c50_v2.col,10,10,50,2,376,366,367,0.001662488,50,0.000210479,367,0.001378282
galaxy_a10_b10_c50_v3.col,10,10,50,3,351,341,342,0.001424613,49,0.000207719,342,0.001203585
galaxy_a10_b10_c50_v4.col,10,10,50,4,286,276,277,0.001075118,48,0.000155826,277,0.000815724
galaxy_a10_b10_c50_v5.col,10,10,50,5,320,310,311,0.001193176,51,0.000175187,311,0.00103832
