instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a20_b10_c70_v2.col,20,10,70,2,624,604,55,0.022227762,MinGrau
galaxy_a20_b10_c70_v3.col,20,10,70,3,825,805,66,0.049317108,MinGrau
galaxy_a20_b10_c70_v4.col,20,10,70,4,818,798,64,0.043618413,MinGrau
galaxy_a20_b10_c70_v5.col,20,10,70,5,819,799,63,0.056480461,MinGrau
galaxy_a20_b10_c80_v1.col,20,10,80,1,923,903,78,0.072507071,MinGrau
galaxy_a20_b10_c80_v2.col,20,10,80,2,918,898,78,0.075263492,MinGrau
galaxy_a20_b10_c80_v3.col,20,10,80,3,1028,1008,78,0.087760858,MinGrau
galaxy_a20_b10_c80_v4.col,20,10,80,4,867,847,81,0.064334666,MinGrau
galaxy_a20_b10_c80_v5.col,20,10,80,5,999,979,75,0.09521404,MinGrau
galaxy_a20_b10_c90_v1.col,20,10,90,1,1013,993,86,0.093386117,MinGrau
galaxy_a20_b10_c90_v2.col,20,10,90,2,1017,997,91,0.084823549,MinGrau
galaxy_a20_b10_c90_v3.col,20,10,90,3,841,821,87,0.066028856,MinGrau
galaxy_a20_b10_c90_v4.col,20,10,90,4,1028,1008,85,0.090219045,MinGrau
galaxy_a20_b10_c90_v5.col,20,10,90,5,1063,1043,88,0.098932068,MinGrau
galaxy_a25_b10_c100_v1.col,25,10,100,1,1373,1348,99,0.203446998,MinGrau
galaxy_a25_b10_c100_v2.col,25,10,100,2,1480,1455,98,0.413855485,MinGrau
galaxy_a25_b10_c100_v3.col,25,10,100,3,1574,1549,101,0.636946339,MinGrau
galaxy_a25_b10_c100_v4.col,25,10,100,4,1630,1605,101,0.718362168,MinGrau
galaxy_a25_b10_c100_v5.col,25,10,100,5,1456,1431,97,0.267356528,MinGrau
galaxy_a25_b10_c20_v1.col,25,10,20,1,387,362,35,0.005788398,MinGrau
galaxy_a25_b10_c20_v2.col,25,10,20,2,398,373,35,0.007462098,MinGrau
galaxy_a25_b10_c20_v3.col,25,10,20,3,403,378,35,0.006936398,MinGrau
galaxy_a25_b10_c20_v4.col,25,10,20,4,372,347,35,0.005581198,MinGrau
galaxy_a25_b10_c20_v5.col,25,10,20,5,398,373,35,0.006445398,MinGrau
galaxy_a25_b10_c30_v1.col,25,10,30,1,557,532,37,0.015827694,MinGrau
galaxy_a25_b10_c30_v2.col,25,10,30,2,544,519,37,0.012748495,MinGrau
galaxy_a25_b10_c30_v3.col,25,10,30,3,513,488,35,0.010351595,MinGrau
galaxy_a25_b10_c30_v4.col,25,10,30,4,525,500,35,0.009987095,MinGrau
galaxy_a25_b10_c30_v5.col,25,10,30,5,528,503,37,0.010385284,MinGrau
galaxy_a25_b10_c40_v1.col,25,10,40,1,604,579,41,0.014640577,MinGrau
galaxy_a25_b10_c40_v2.col,25,10,40,2,655,630,42,0.019019869,MinGrau
galaxy_a25_b10_c40_v3.col,25,10,40,3,634,609,41,0.019076469,MinGrau
galaxy_a25_b10_c40_v4.col,25,10,40,4,692,667,42,0.021987678,MinGrau
galaxy_a25_b10_c40_v5.col,25,10,40,5,625,600,41,0.022511269,MinGrau
galaxy_a25_b10_c50_v1.col,25,10,50,1,797,772,50,0.036923546,MinGrau
galaxy_a25_b10_c50_v2.col,25,10,50,2,749,724,51,0.029564854,MinGrau
galaxy_a25_b10_c50_v3.col,25,10,50,3,762,737,51,0.034401257,MinGrau
galaxy_a25_b10_c50_v4.col,25,10,50,4,849,824,50,0.038421355,MinGrau
galaxy_a25_b10_c50_v5.col,25,10,50,5,789,764,50,0.038922851,MinGrau
galaxy_a25_b10_c60_v1.col,25,10,60,1,814,789,60,0.040202946,MinGrau
galaxy_a25_b10_c60_v2.col,25,10,60,2,882,857,61,0.047105117,MinGrau
galaxy_a25_b10_c60_v3.col,25,10,60,3,865,840,61,0.049928534,MinGrau
galaxy_a25_b10_c60_v4.col,25,10,60,4,913,888,61,0.054607407,MinGrau
galaxy_a25_b10_c60_v5.col,25,10,60,5,887,862,60,0.049363799,MinGrau
galaxy_a25_b10_c70_v1.col,25,10,70,1,1030,1005,71,0.077636381,MinGrau
galaxy_a25_b10_c70_v2.col,25,10,70,2,1013,988,68,0.079932398,MinGrau
galaxy_a25_b10_c70_v3.col,25,10,70,3,1028,1003,68,0.07579159,MinGrau
galaxy_a25_b10_c70_v4.col,25,10,70,4,1004,979,71,0.067927058,MinGrau
galaxy_a25_b10_c70_v5.col,25,10,70,5,949,924,64,0.064607825,MinGrau
galaxy_a25_b10_c80_v1.col,25,10,80,1,1071,1046,78,0.087066185,MinGrau
galaxy_a25_b10_c80_v2.col,25,10,80,2,1275,1250,79,0.252462107,MinGrau
galaxy_a25_b10_c80_v3.col,25,10,80,3,1339,1314,82,0.18563151,MinGrau
galaxy_a25_b10_c80_v4.col,25,10,80,4,1099,1074,81,0.102545504,MinGrau
galaxy_a25_b10_c80_v5.col,25,10,80,5,1277,1252,73,0.15974762,MinGrau
galaxy_a25_b10_c90_v1.col,25,10,90,1,1220,1195,90,0.143837374,MinGrau
galaxy_a25_b10_c90_v2.col,25,10,90,2,1128,1103,79,0.091247803,MinGrau
galaxy_a25_b10_c90_v3.col,25,10,90,3,1201,1176,91,0.2120619,MinGrau
galaxy_a25_b10_c90_v4.col,25,10,90,4,1077,1052,89,0.085325479,MinGrau
galaxy_a25_b10_c90_v5.col,25,10,90,5,1435,1410,90,0.326483033,MinGrau
