b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,90,0.12238,0.0005,593,583,5,87.0,10,galaxy_a10_b10_c90_v5.col,0.0
10,100,0.28249,0.075,876,861,1,94.0,15,galaxy_a15_b10_c100_v1.col,0.0
10,100,0.16925,0.0012,750,735,2,100.0,15,galaxy_a15_b10_c100_v2.col,0.0
10,100,0.23297,0.0009,939,924,3,102.0,15,galaxy_a15_b10_c100_v3.col,0.0
10,100,0.17659,0.0005,774,759,4,90.0,15,galaxy_a15_b10_c100_v4.col,0.0
10,100,0.18168,0.0005,783,768,5,99.0,15,galaxy_a15_b10_c100_v5.col,0.0
10,20,0.0319,0.0006,251,236,1,27.2,15,galaxy_a15_b10_c20_v1.col,0.2
10,20,0.03506,0.0004,265,250,2,29.2,15,galaxy_a15_b10_c20_v2.col,0.2
10,20,0.03005,0.0005,239,224,3,26.2,15,galaxy_a15_b10_c20_v3.col,0.2
10,20,0.02867,0.0006,232,217,4,26.0,15,galaxy_a15_b10_c20_v4.col,0.4472
10,20,0.03096,0.0005,248,233,5,28.0,15,galaxy_a15_b10_c20_v5.col,0.0
10,30,0.04247,0.0005,305,290,1,31.4,15,galaxy_a15_b10_c30_v1.col,0.2449
10,30,0.04194,0.0005,308,293,2,31.4,15,galaxy_a15_b10_c30_v2.col,0.4
10,30,0.0438,0.0005,319,304,3,33.2,15,galaxy_a15_b10_c30_v3.col,0.2
10,30,0.04097,0.0004,300,285,4,31.2,15,galaxy_a15_b10_c30_v4.col,0.2
10,30,0.04882,0.0005,345,330,5,34.2,15,galaxy_a15_b10_c30_v5.col,0.3742
10,40,0.06456,0.0005,423,408,1,41.4,15,galaxy_a15_b10_c40_v1.col,0.2449
10,40,0.06784,0.0002,435,420,2,43.4,15,galaxy_a15_b10_c40_v2.col,0.2449
10,40,0.052,0.0005,358,343,3,41.0,15,galaxy_a15_b10_c40_v3.col,0.0
10,40,0.04881,0.0005,341,326,4,38.2,15,galaxy_a15_b10_c40_v4.col,0.2
10,40,0.0525,0.0005,360,345,5,39.0,15,galaxy_a15_b10_c40_v5.col,0.0
10,50,0.0744,0.0008,461,446,1,48.2,15,galaxy_a15_b10_c50_v1.col,0.2
10,50,0.07704,0.0004,465,450,2,50.0,15,galaxy_a15_b10_c50_v2.col,0.0
10,50,0.09422,0.0002,546,531,3,51.6,15,galaxy_a15_b10_c50_v3.col,0.2449
10,50,0.05536,0.0006,372,357,4,49.0,15,galaxy_a15_b10_c50_v4.col,0.0
10,50,0.08491,0.001,497,482,5,51.0,15,galaxy_a15_b10_c50_v5.col,0.0
10,60,0.1124,0.0004,599,584,1,59.8,15,galaxy_a15_b10_c60_v1.col,0.2
10,60,0.10567,0.0006,580,565,2,61.0,15,galaxy_a15_b10_c60_v2.col,0.0
10,60,0.08987,0.0004,510,495,3,60.0,15,galaxy_a15_b10_c60_v3.col,0.0
10,60,0.16018,0.0649,509,494,4,56.0,15,galaxy_a15_b10_c60_v4.col,0.0
10,60,0.09334,0.0016,537,522,5,60.0,15,galaxy_a15_b10_c60_v5.col,0.0
10,70,0.08179,0.0005,487,472,1,67.0,15,galaxy_a15_b10_c70_v1.col,0.0
10,70,0.0966,0.002,547,532,2,62.0,15,galaxy_a15_b10_c70_v2.col,0.0
10,70,0.10772,0.0016,590,575,3,59.0,15,galaxy_a15_b10_c70_v3.col,0.0
10,70,0.13531,0.0006,674,659,4,71.0,15,galaxy_a15_b10_c70_v4.col,0.0
10,70,0.15057,0.0005,712,697,5,70.0,15,galaxy_a15_b10_c70_v5.col,0.0
10,80,0.1012,0.0004,551,536,1,74.0,15,galaxy_a15_b10_c80_v1.col,0.0
10,80,0.14523,0.0006,694,679,2,76.0,15,galaxy_a15_b10_c80_v2.col,0.0
10,80,0.11546,0.0009,589,574,3,80.0,15,galaxy_a15_b10_c80_v3.col,0.0
