instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a25_b10_c100_v1.col,25,10,100,1,1373,1348,1348,6.172862715,99,0.203446998,1349,6.139825986
galaxy_a25_b10_c100_v2.col,25,10,100,2,1480,1455,1455,11.655439316,98,0.413855485,1456,11.987745082
galaxy_a25_b10_c100_v3.col,25,10,100,3,1574,1549,1549,16.061564615,101,0.636946339,1550,15.41163291
galaxy_a25_b10_c100_v4.col,25,10,100,4,1630,1605,1605,19.402073055,101,0.718362168,1606,19.285553104
galaxy_a25_b10_c100_v5.col,25,10,100,5,1456,1431,1431,8.931046393,97,0.267356528,1432,8.355895697
galaxy_a25_b10_c20_v1.col,25,10,20,1,387,362,362,0.130077058,35,0.005788398,363,0.12617856
galaxy_a25_b10_c20_v2.col,25,10,20,2,398,373,373,0.143299354,35,0.007462098,374,0.139714555
galaxy_a25_b10_c20_v3.col,25,10,20,3,403,378,378,0.158495742,35,0.006936398,379,0.137328256
galaxy_a25_b10_c20_v4.col,25,10,20,4,372,347,347,0.124820655,35,0.005581198,348,0.114823659
galaxy_a25_b10_c20_v5.col,25,10,20,5,398,373,373,0.155033144,35,0.006445398,374,0.138460749
galaxy_a25_b10_c30_v1.col,25,10,30,1,557,532,532,0.46365721,37,0.015827694,533,0.389981153
galaxy_a25_b10_c30_v2.col,25,10,30,2,544,519,519,0.341952046,37,0.012748495,520,0.355023755
galaxy_a25_b10_c30_v3.col,25,10,30,3,513,488,488,0.279936673,35,0.010351595,489,0.270447577
galaxy_a25_b10_c30_v4.col,25,10,30,4,525,500,500,0.286099661,35,0.009987095,501,0.267082272
galaxy_a25_b10_c30_v5.col,25,10,30,5,528,503,503,0.289248549,37,0.010385284,504,0.284781058
galaxy_a25_b10_c40_v1.col,25,10,40,1,604,579,579,0.440352996,41,0.014640577,580,0.405086052
galaxy_a25_b10_c40_v2.col,25,10,40,2,655,630,630,0.573042202,42,0.019019869,631,0.546574951
galaxy_a25_b10_c40_v3.col,25,10,40,3,634,609,609,0.516054969,41,0.019076469,610,0.474189719
galaxy_a25_b10_c40_v4.col,25,10,40,4,692,667,667,0.689629153,42,0.021987678,668,0.62293583
galaxy_a25_b10_c40_v5.col,25,10,40,5,625,600,600,0.574474583,41,0.022511269,601,0.504113803
galaxy_a25_b10_c50_v1.col,25,10,50,1,797,772,772,1.039932641,50,0.036923546,773,0.986810468
