b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,70,0.15027,0.016,447,437,3,72.0,10,galaxy_a10_b10_c70_v3.col,0.0
10,70,0.11652,0.0027,430,420,4,69.0,10,galaxy_a10_b10_c70_v4.col,0.0
10,70,0.12522,0.0009,456,446,5,69.0,10,galaxy_a10_b10_c70_v5.col,0.0
10,80,0.15255,0.0083,469,459,1,77.0,10,galaxy_a10_b10_c80_v1.col,0.0
10,80,0.19473,0.0095,519,509,2,79.0,10,galaxy_a10_b10_c80_v2.col,0.0
10,80,0.20199,0.0088,575,565,3,82.0,10,galaxy_a10_b10_c80_v3.col,0.0
10,80,0.13233,0.0092,435,425,4,75.0,10,galaxy_a10_b10_c80_v4.col,0.0
10,80,0.11552,0.0011,424,414,5,77.0,10,galaxy_a10_b10_c80_v5.col,0.0
10,90,0.17389,0.0006,550,540,1,90.0,10,galaxy_a10_b10_c90_v1.col,0.0
10,90,0.20848,0.0033,618,608,2,85.0,10,galaxy_a10_b10_c90_v2.col,0.0
10,90,0.12084,0.0015,438,428,3,71.0,10,galaxy_a10_b10_c90_v3.col,0.0
10,90,0.1389,0.0009,475,465,4,89.0,10,galaxy_a10_b10_c90_v4.col,0.0
10,90,0.19427,0.0012,593,583,5,87.0,10,galaxy_a10_b10_c90_v5.col,0.0
10,100,0.39263,0.0206,876,861,1,94.0,15,galaxy_a15_b10_c100_v1.col,0.0
10,100,0.49852,0.171,750,735,2,100.0,15,galaxy_a15_b10_c100_v2.col,0.0
10,100,0.39199,0.0184,939,924,3,102.0,15,galaxy_a15_b10_c100_v3.col,0.0
10,100,0.28796,0.0083,774,759,4,90.0,15,galaxy_a15_b10_c100_v4.col,0.0
10,100,0.33438,0.0113,783,768,5,99.0,15,galaxy_a15_b10_c100_v5.col,0.0
10,20,0.06285,0.0092,251,236,1,27.4,15,galaxy_a15_b10_c20_v1.col,0.2449
10,20,0.05458,0.0007,265,250,2,29.0,15,galaxy_a15_b10_c20_v2.col,0.0
10,20,0.04748,0.0007,239,224,3,26.6,15,galaxy_a15_b10_c20_v3.col,0.2449
10,20,0.04474,0.0006,232,217,4,25.8,15,galaxy_a15_b10_c20_v4.col,0.2
10,20,0.04833,0.0008,248,233,5,28.0,15,galaxy_a15_b10_c20_v5.col,0.0
10,30,0.06944,0.0045,305,290,1,32.0,15,galaxy_a15_b10_c30_v1.col,0.3162
10,30,0.06505,0.0008,308,293,2,31.4,15,galaxy_a15_b10_c30_v2.col,0.2449
10,30,0.06867,0.0008,319,304,3,32.4,15,galaxy_a15_b10_c30_v3.col,0.2449
