b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
1000,447,3,46.175,444,513,1500,15019,3,500,44.4429,bi_a500_b1000_p03%_v3.col,49.9931
1000,448,3,46.572,450,513,1500,15088,4,500,46.9399,bi_a500_b1000_p03%_v4.col,51.4953
1000,440,3,43.9489,440,515,1500,14826,5,500,43.4803,bi_a500_b1000_p03%_v5.col,50.552
1000,538,5,68.5529,538,573,1500,25206,1,500,70.6838,bi_a500_b1000_p05%_v1.col,73.5014
1000,546,5,68.1825,540,570,1500,24966,2,500,68.8662,bi_a500_b1000_p05%_v2.col,73.2948
1000,546,5,68.2101,543,573,1500,25025,3,500,68.0105,bi_a500_b1000_p05%_v3.col,73.9907
1000,538,5,69.668,538,572,1500,25073,4,500,68.1992,bi_a500_b1000_p05%_v4.col,71.9695
1000,546,5,70.4254,546,572,1500,24946,5,500,68.5112,bi_a500_b1000_p05%_v5.col,71.7162
1000,766,10,111.8742,766,811,1500,50023,1,500,111.3393,bi_a500_b1000_p10%_v1.col,207.5812
1000,766,10,111.829,766,809,1500,50026,2,500,116.1117,bi_a500_b1000_p10%_v2.col,207.027
1000,776,10,110.2371,776,813,1500,49783,3,500,109.8416,bi_a500_b1000_p10%_v3.col,213.3887
