instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a10_b10_c50_v4.col,10,10,50,4,286,276,48.0,0.0,0.12478,0.0009
galaxy_a10_b10_c50_v5.col,10,10,50,5,320,310,51.0,0.0,0.16693,0.0653
galaxy_a10_b10_c60_v1.col,10,10,60,1,360,350,61.0,0.0,0.11616,0.0069
galaxy_a10_b10_c60_v2.col,10,10,60,2,261,251,51.0,0.0,0.09174,0.0015
galaxy_a10_b10_c60_v3.col,10,10,60,3,259,249,53.0,0.0,0.07118,0.0008
galaxy_a10_b10_c60_v4.col,10,10,60,4,402,392,59.0,0.0,0.16036,0.0004
galaxy_a10_b10_c60_v5.col,10,10,60,5,341,331,59.0,0.0,0.13229,0.001
galaxy_a10_b10_c70_v1.col,10,10,70,1,458,448,61.0,0.0,0.48857,0.0718
galaxy_a10_b10_c70_v2.col,10,10,70,2,492,482,65.0,0.0,0.30005,0.0017
galaxy_a10_b10_c70_v3.col,10,10,70,3,447,437,72.0,0.0,0.25774,0.0095
galaxy_a10_b10_c70_v4.col,10,10,70,4,430,420,69.0,0.0,0.1465,0.0007
galaxy_a10_b10_c70_v5.col,10,10,70,5,456,446,69.0,0.0,0.34689,0.064
galaxy_a10_b10_c80_v1.col,10,10,80,1,469,459,77.0,0.0,0.24427,0.0019
galaxy_a10_b10_c80_v2.col,10,10,80,2,519,509,79.0,0.0,0.30957,0.0116
galaxy_a10_b10_c80_v3.col,10,10,80,3,575,565,82.0,0.0,0.53817,0.0722
galaxy_a10_b10_c80_v4.col,10,10,80,4,435,425,75.0,0.0,0.19313,0.0069
galaxy_a10_b10_c80_v5.col,10,10,80,5,424,414,77.0,0.0,0.14269,0.0009
galaxy_a10_b10_c90_v1.col,10,10,90,1,550,540,90.0,0.0,0.21683,0.0006
galaxy_a10_b10_c90_v2.col,10,10,90,2,618,608,85.0,0.0,0.413,0.0701
galaxy_a10_b10_c90_v3.col,10,10,90,3,438,428,71.0,0.0,0.15527,0.0081
galaxy_a10_b10_c90_v4.col,10,10,90,4,475,465,89.0,0.0,0.17122,0.0006
galaxy_a10_b10_c90_v5.col,10,10,90,5,593,583,87.0,0.0,0.55083,0.0727
galaxy_a15_b10_c100_v1.col,15,10,100,1,876,861,94.0,0.0,0.77627,0.0814
galaxy_a15_b10_c100_v2.col,15,10,100,2,750,735,100.0,0.0,0.36835,0.0197
galaxy_a15_b10_c100_v3.col,15,10,100,3,939,924,102.0,0.0,0.79007,0.0711
galaxy_a15_b10_c100_v4.col,15,10,100,4,774,759,90.0,0.0,0.65635,0.0802
galaxy_a15_b10_c100_v5.col,15,10,100,5,783,768,99.0,0.0,0.52565,0.0745
galaxy_a15_b10_c20_v1.col,15,10,20,1,251,236,26.0,0.0,0.30524,0.0194
galaxy_a15_b10_c20_v2.col,15,10,20,2,265,250,27.0,0.0,0.73874,0.2307
galaxy_a15_b10_c20_v3.col,15,10,20,3,239,224,25.0,0.0,0.38454,0.0702
galaxy_a15_b10_c20_v4.col,15,10,20,4,232,217,24.8,0.2,0.47317,0.2535
galaxy_a15_b10_c20_v5.col,15,10,20,5,248,233,26.0,0.0,0.47206,0.0908
galaxy_a15_b10_c30_v1.col,15,10,30,1,305,290,31.0,0.0,0.32162,0.0778
galaxy_a15_b10_c30_v2.col,15,10,30,2,308,293,29.0,0.0,0.38091,0.0225
galaxy_a15_b10_c30_v3.col,15,10,30,3,319,304,30.0,0.0,1.16372,0.2031
galaxy_a15_b10_c30_v4.col,15,10,30,4,300,285,31.0,0.0,0.22814,0.0069
galaxy_a15_b10_c30_v5.col,15,10,30,5,345,330,32.0,0.0,0.53654,0.0989
galaxy_a15_b10_c40_v1.col,15,10,40,1,423,408,40.0,0.0,0.42716,0.0174
galaxy_a15_b10_c40_v2.col,15,10,40,2,435,420,41.0,0.0,0.58135,0.0857
galaxy_a15_b10_c40_v3.col,15,10,40,3,358,343,41.0,0.0,0.18277,0.0053
galaxy_a15_b10_c40_v4.col,15,10,40,4,341,326,38.0,0.0,0.30409,0.0759
galaxy_a15_b10_c40_v5.col,15,10,40,5,360,345,39.0,0.0,0.25653,0.0104
