instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a20_b10_c90_v1.col,20,10,90,1,1013,993,86.0,0.0,0.78154,0.0034,82.19985961914062,82.04297790527343
galaxy_a25_b10_c100_v1.col,25,10,100,1,1373,1348,99.0,0.0,2.09307,0.0546,118.62994384765625,95.84772033691407
galaxy_a25_b10_c20_v1.col,25,10,20,1,387,362,33.4,0.2449,5.17383,2.0636,294.87071990966797,171.22996215820314
galaxy_a25_b10_c30_v1.col,25,10,30,1,557,532,37.4,0.2449,2.51839,0.5468,175.85318756103516,122.25875549316406
galaxy_a25_b10_c40_v1.col,25,10,40,1,604,579,41.0,0.0,3.10256,1.8547,224.95816040039062,142.30585632324218
galaxy_a25_b10_c50_v1.col,25,10,50,1,797,772,50.0,0.0,1.4264,0.0873,112.9777603149414,92.71167297363282
galaxy_a25_b10_c60_v1.col,25,10,60,1,814,789,60.0,0.0,0.9763,0.0177,78.26286315917969,67.61358032226562
galaxy_a25_b10_c70_v1.col,25,10,70,1,1030,1005,71.0,0.0,1.23035,0.0327,66.4483413696289,59.94862365722656
galaxy_a25_b10_c80_v1.col,25,10,80,1,1071,1046,78.0,0.0,1.01426,0.0335,115.96644592285156,105.97147216796876
galaxy_a25_b10_c90_v1.col,25,10,90,1,1220,1195,90.0,0.0,1.17092,0.0021,107.37870025634766,107.14500885009765
galaxy_a30_b10_c100_v1.col,30,10,100,1,1837,1807,100.0,0.0,3.65733,0.1544,124.47169494628906,96.25164184570312
galaxy_a30_b10_c20_v1.col,30,10,20,1,479,449,38.2,0.3742,2.19956,0.2749,156.6888427734375,100.25339965820312
galaxy_a30_b10_c30_v1.col,30,10,30,1,561,531,39.4,0.2449,2.43574,0.4911,113.18131256103516,94.67203979492187
galaxy_a30_b10_c40_v1.col,30,10,40,1,839,809,46.0,0.0,6.18653,1.4846,204.81636810302734,154.12316436767577
galaxy_a30_b10_c50_v1.col,30,10,50,1,984,954,52.2,0.3742,10.63606,2.135,285.13756561279297,214.5088104248047
galaxy_a30_b10_c60_v1.col,30,10,60,1,1088,1058,61.0,0.0,2.16363,0.0639,114.66857147216797,90.99569549560547
