instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a15_b10_c40_v5.col,15,10,40,5,360,345,39.0,0.0,0.08472,0.0059
galaxy_a15_b10_c50_v1.col,15,10,50,1,461,446,48.0,0.0,0.11728,0.0065
galaxy_a15_b10_c50_v2.col,15,10,50,2,465,450,50.0,0.0,0.09344,0.0035
galaxy_a15_b10_c50_v3.col,15,10,50,3,546,531,51.0,0.0,0.1675,0.0084
galaxy_a15_b10_c50_v4.col,15,10,50,4,372,357,49.0,0.0,0.13328,0.061
galaxy_a15_b10_c50_v5.col,15,10,50,5,497,482,51.0,0.0,0.14291,0.0061
galaxy_a15_b10_c60_v1.col,15,10,60,1,599,584,59.0,0.0,0.2035,0.0132
galaxy_a15_b10_c60_v2.col,15,10,60,2,580,565,61.0,0.0,0.11933,0.0046
galaxy_a15_b10_c60_v3.col,15,10,60,3,510,495,60.0,0.0,0.11952,0.0033
galaxy_a15_b10_c60_v4.col,15,10,60,4,509,494,56.0,0.0,0.10756,0.0043
galaxy_a15_b10_c60_v5.col,15,10,60,5,537,522,60.0,0.0,0.108,0.0039
galaxy_a15_b10_c70_v1.col,15,10,70,1,487,472,67.0,0.0,0.09982,0.0041
galaxy_a15_b10_c70_v2.col,15,10,70,2,547,532,62.0,0.0,0.11313,0.0027
galaxy_a15_b10_c70_v3.col,15,10,70,3,590,575,59.0,0.0,0.13767,0.004
galaxy_a15_b10_c70_v4.col,15,10,70,4,674,659,71.0,0.0,0.17247,0.0051
galaxy_a15_b10_c70_v5.col,15,10,70,5,712,697,70.0,0.0,0.26373,0.0706
galaxy_a15_b10_c80_v1.col,15,10,80,1,551,536,74.0,0.0,0.11033,0.001
galaxy_a15_b10_c80_v2.col,15,10,80,2,694,679,76.0,0.0,0.1567,0.0006
galaxy_a15_b10_c80_v3.col,15,10,80,3,589,574,80.0,0.0,0.12323,0.0045
galaxy_a15_b10_c80_v4.col,15,10,80,4,657,642,78.0,0.0,0.15684,0.0052
galaxy_a15_b10_c80_v5.col,15,10,80,5,832,817,81.0,0.0,0.38505,0.0147
galaxy_a15_b10_c90_v1.col,15,10,90,1,705,690,85.0,0.0,0.22854,0.0663
galaxy_a15_b10_c90_v2.col,15,10,90,2,820,805,89.0,0.0,0.24354,0.0073
galaxy_a15_b10_c90_v3.col,15,10,90,3,782,767,83.0,0.0,0.2157,0.0067
galaxy_a15_b10_c90_v4.col,15,10,90,4,711,696,91.0,0.0,0.14496,0.0005
galaxy_a15_b10_c90_v5.col,15,10,90,5,666,651,91.0,0.0,0.12828,0.0002
galaxy_a20_b10_c100_v1.col,20,10,100,1,1027,1007,95.0,0.0,0.25863,0.0125
galaxy_a20_b10_c100_v2.col,20,10,100,2,1192,1172,94.0,0.0,0.62805,0.0747
galaxy_a20_b10_c100_v3.col,20,10,100,3,1059,1039,99.0,0.0,0.3772,0.0128
galaxy_a20_b10_c100_v4.col,20,10,100,4,1104,1084,94.0,0.0,0.37449,0.0022
galaxy_a20_b10_c100_v5.col,20,10,100,5,1189,1169,99.0,0.0,0.46284,0.0619
galaxy_a20_b10_c20_v1.col,20,10,20,1,289,269,29.4,0.2449,0.07354,0.0053
galaxy_a20_b10_c20_v2.col,20,10,20,2,327,307,31.6,0.4,0.09322,0.0096
galaxy_a20_b10_c20_v3.col,20,10,20,3,318,298,30.4,0.2449,0.08232,0.0052
galaxy_a20_b10_c20_v4.col,20,10,20,4,309,289,30.2,0.2,0.07448,0.0041
galaxy_a20_b10_c20_v5.col,20,10,20,5,318,298,29.8,0.2,0.09057,0.0086
galaxy_a20_b10_c30_v1.col,20,10,30,1,391,371,32.0,0.3162,0.14448,0.0082
galaxy_a20_b10_c30_v2.col,20,10,30,2,448,428,35.4,0.2449,0.18079,0.0177
galaxy_a20_b10_c30_v3.col,20,10,30,3,433,413,34.4,0.2449,0.18842,0.0154
galaxy_a20_b10_c30_v4.col,20,10,30,4,429,409,34.2,0.4899,0.17732,0.014
galaxy_a20_b10_c30_v5.col,20,10,30,5,427,407,35.4,0.2449,0.17627,0.0183
galaxy_a20_b10_c40_v1.col,20,10,40,1,595,575,44.4,0.2449,0.35169,0.0641
galaxy_a20_b10_c40_v2.col,20,10,40,2,580,560,43.0,0.4472,0.24099,0.0279
galaxy_a20_b10_c40_v3.col,20,10,40,3,503,483,42.0,0.0,0.17277,0.0078
galaxy_a20_b10_c40_v4.col,20,10,40,4,483,463,41.0,0.0,0.1606,0.0084
galaxy_a20_b10_c40_v5.col,20,10,40,5,545,525,43.0,0.3162,0.24542,0.0195
galaxy_a20_b10_c50_v1.col,20,10,50,1,621,601,49.2,0.2,0.23049,0.0188
galaxy_a20_b10_c50_v2.col,20,10,50,2,674,654,51.2,0.2,0.37001,0.0806
galaxy_a20_b10_c50_v3.col,20,10,50,3,710,690,52.2,0.2,0.33884,0.0201
galaxy_a20_b10_c50_v4.col,20,10,50,4,589,569,51.0,0.0,0.16326,0.0121
galaxy_a20_b10_c50_v5.col,20,10,50,5,643,623,51.8,0.2,0.28129,0.0225
galaxy_a20_b10_c60_v1.col,20,10,60,1,845,825,59.2,0.2,0.51039,0.0799
galaxy_a20_b10_c60_v2.col,20,10,60,2,688,668,58.0,0.0,0.21891,0.0077
galaxy_a20_b10_c60_v3.col,20,10,60,3,755,735,61.0,0.0,0.26487,0.031
galaxy_a20_b10_c60_v4.col,20,10,60,4,743,723,58.2,0.2,0.27412,0.0232
galaxy_a20_b10_c60_v5.col,20,10,60,5,678,658,60.0,0.0,0.16124,0.0056
galaxy_a20_b10_c70_v1.col,20,10,70,1,863,843,71.0,0.0,0.32072,0.0711
galaxy_a20_b10_c70_v2.col,20,10,70,2,624,604,55.0,0.0,0.2022,0.0092
galaxy_a20_b10_c70_v3.col,20,10,70,3,825,805,66.0,0.0,0.26265,0.0111
galaxy_a20_b10_c70_v4.col,20,10,70,4,818,798,64.0,0.0,0.32035,0.0172
galaxy_a20_b10_c70_v5.col,20,10,70,5,819,799,63.0,0.0,0.37982,0.0769
galaxy_a20_b10_c80_v1.col,20,10,80,1,923,903,78.0,0.0,0.31479,0.008
galaxy_a20_b10_c80_v2.col,20,10,80,2,918,898,78.0,0.0,0.31297,0.022
galaxy_a20_b10_c80_v3.col,20,10,80,3,1028,1008,78.0,0.0,0.39227,0.0224
galaxy_a20_b10_c80_v4.col,20,10,80,4,867,847,81.0,0.0,0.33496,0.0791
galaxy_a20_b10_c80_v5.col,20,10,80,5,999,979,75.0,0.0,0.37783,0.0204
galaxy_a20_b10_c90_v1.col,20,10,90,1,1013,993,86.0,0.0,0.27376,0.0014
